query,relevant_chunk_ids
"What is ADHD?","01_overview_what_is_adhd__definition,01_overview_what_is_adhd__core_characteristics"
"What are the symptoms of inattention?","02_symptoms_hyperactivity__definition,02_symptoms_hyperactivity__common_signs,02_symptoms_hyperactivity__daily_life_impact"
"What is impulsivity in ADHD?","02_symptoms_impulsivity__definition,02_symptoms_impulsivity__common_signs"
"What is emotional dysregulation in ADHD?","02_symptoms_emotional_disregulation__definition,02_symptoms_emotional_disregulation__common_experiences"
"What are executive function difficulties?","02_symptoms_executive_function_difficulties__definition,02_symptoms_executive_function_difficulties__common_difficulties__part1"
"How is ADHD diagnosed?","03_diagnosis_adhd_diagnosis_overview__what_adhd_diagnosis_involves,03_diagnosis_adhd_diagnosis_overview__who_can_diagnose_adhd"
"What are the symptoms before age 12 requirement for ADHD diagnosis?","03_diagnosis_adhd_diagnosis_overview__symptoms_before_age_12"
"What conditions overlap with ADHD diagnosis?","03_diagnosis_adhd_diagnosis_overview__conditions_that_may_overlap_with_adhd__part1,03_diagnosis_adhd_diagnosis_overview__conditions_that_may_overlap_with_adhd__part2"
"What behavioral therapy approaches help ADHD?","04_treatment_behavioral_therapy__how_behavioral_therapy_works,04_treatment_behavioral_therapy__core_therapy_components__part1"
"How do stimulant medications work for ADHD?","05_medications_stimulant_medications__overview,04_treatment_medication_overview__how_medication_works"
"What are side effects of stimulant medications?","05_medications_stimulant_medications__common_side_effects,05_medications_stimulant_medications__safety_warnings__part1"
"What are non-stimulant medications for ADHD?","05_medications_non_stimulant__overview,05_medications_non_stimulant__common_medication_categories__part1"
"How does sleep affect ADHD symptoms?","04_treatment_sleep_support__how_sleep_affects_adhd,04_treatment_sleep_support__overview"
"What exercise helps with ADHD?","04_treatment_exercise_and_activity__how_exercise_affects_the_adhd_brain,04_treatment_exercise_and_activity__overview"
"What school accommodations help children with ADHD?","07_children_teen_school_accommodations__overview,04_treatment_school_supports__common_classroom_accommodations__part1"
"How can adults with ADHD manage time?","06_adults_time_management__support_strategies__part1,06_adults_time_management__overview"
"What is ADHD masking and burnout?","06_adults_masking_and_burnout__overview,06_adults_masking_and_burnout__common_masking_behaviors__part1"
"What difficulties do adults with ADHD face in relationships?","06_adults_relationships__overview,06_adults_relationships__daily_life_impact__part1"
"What is late diagnosis of ADHD in adults?","06_adults_late_diagnosis__overview,06_adults_late_diagnosis__emotional_responses_to_late_diagnosis__part1"
"What are common organizational strategies for ADHD?","04_treatment_organizational_strategies__key_organizational_principles__part1,04_treatment_organizational_strategies__overview"
"What challenges do children with ADHD face at school?","07_children_teen_adhd_in_children__overview,07_children_teen_adhd_in_children__school_and_daily_life_impact__part1"
"What are common challenges for teenagers with ADHD?","07_children_teen_adhd_in_teens__overview,07_children_teen_adhd_in_teens__common_challenges__part1"
"How does behavioral therapy work for children with ADHD?","07_children_teen_behavior_therapy_children__overview,07_children_teen_behavior_therapy_children__how_behavioral_therapy_works_for_children"
"What classroom strategies help students with ADHD?","07_children_teen_classroom_supports__overview,07_children_teen_classroom_supports__instructional_strategies__part1"
"What guidance do parents need when raising a child with ADHD?","07_children_teen_parent_guidance__overview,07_children_teen_parent_guidance__understanding_adhd_as_caregiver"
"How do I get school accommodations for my child with ADHD?","07_children_teen_school_accommodations__understanding_legal_protections,07_children_teen_school_accommodations__getting_school_accommodations"
"What support strategies help children with ADHD at home?","07_children_teen_adhd_in_children__safety_notes,07_children_teen_parent_guidance__safety_notes"
"When should someone with ADHD seek professional help?","04_treatment_treatment_overview__safety_notes__part1,03_diagnosis_adhd_diagnosis_overview__safety_notes"
"What are warning signs that require urgent clinical attention in ADHD?","03_diagnosis_adhd_diagnosis_overview__safety_notes,06_adults_adult_adhd_overview__safety_notes__part1"
"What are the limits of self-diagnosing ADHD?","03_diagnosis_adhd_diagnosis_overview__safety_notes,08_safety_medical_boundaries__clinical_limitations__part1"
"What are medical boundaries when discussing ADHD treatment?","08_safety_medical_boundaries__important_safety_information__part1,08_safety_medical_boundaries__clinical_limitations__part1"
"What medication safety information is important for ADHD?","08_safety_medication_safety__important_safety_information,08_safety_medication_safety__when_professional_help_is_important__part1"
"What are escalation pathways for ADHD clinical concerns?","08_safety_clinician_escalation__escalation_pathways__part1,08_safety_clinician_escalation__specific_escalation_scenarios__part1"
"Can adults have ADHD?","09_FAQ_adult_adhd_faq__faq__part1,09_FAQ_adult_adhd_faq__faq__part2"
"What are common questions about ADHD diagnosis?","03_diagnosis_adhd_diagnosis_overview__who_can_diagnose_adhd,03_diagnosis_adhd_diagnosis_overview__conditions_that_may_overlap_with_adhd__part1"
"What are common questions about ADHD medication?","04_treatment_medication_overview__important_information_about_medication,08_safety_medication_safety__medication_adherence_and_storage"
"What are common questions about emotional regulation and ADHD?","09_FAQ_emotional_regulation_faq__faq__part1,09_FAQ_emotional_regulation_faq__faq__part2"
"How does ADHD affect work productivity in adults?","06_adults_work_productivity__overview,06_adults_work_productivity__common_difficulties__part1"
"What support strategies help adults with ADHD at work?","06_adults_adult_adhd_overview__support_strategies__part1,06_adults_work_productivity__safety_notes"
"What are the emotional regulation challenges for adults with ADHD?","06_adults_emotional_regulation__overview,06_adults_emotional_regulation__common_difficulties__part1"
